Date,EURUSD_Open,EURUSD_High,EURUSD_Low,EURUSD_Close,GBPUSD_Open,GBPUSD_High,GBPUSD_Low,GBPUSD_Close,CADUSD_Open,CADUSD_High,CADUSD_Low,CADUSD_Close,CHFUSD_Open,CHFUSD_High,CHFUSD_Low,CHFUSD_Close,JPYUSD_Open,JPYUSD_High,JPYUSD_Low,JPYUSD_Close,SEKUSD_Open,SEKUSD_High,SEKUSD_Low,SEKUSD_Close,DXY_Open,DXY_High,DXY_Low,DXY_Close
2010-12-01,1.2994945049285889,1.313456416130066,1.297706961631775,1.2992074489593506,1.5571472644805908,1.5647982358932495,1.5553066730499268,1.5568078756332397,0.9752291440963745,0.9835742712020874,0.9738045930862427,0.975134015083313,0.997307300567627,0.9999699592590332,0.9936011433601379,0.9974067807197571,0.011952286586165428,0.011992852203547955,0.011851430870592594,0.011950572021305561,0.1425008922815323,0.14359357953071594,0.14213025569915771,0.14235685765743256,81.26000213623047,81.36000061035156,80.5,80.70999908447266
2010-12-02,1.3125598430633545,1.3211959600448608,1.3065063953399658,1.3124909400939941,1.561060905456543,1.5661708116531372,1.551518201828003,1.561036467552185,0.9824147820472717,0.9955201148986816,0.9817781448364258,0.9824147820472717,0.9971482157707214,1.006572961807251,0.9947279095649719,0.9971083998680115,0.011889192275702953,0.011918666772544384,0.01185536477714777,0.011887355707585812,0.14344115555286407,0.14471152424812317,0.1429653912782669,0.14338356256484985,80.79000091552734,81.0199966430664,80.05999755859375,80.30000305175781
2010-12-03,1.321300745010376,1.337667465209961,1.3195048570632935,1.3215975761413574,1.5589923858642578,1.5713881254196167,1.5583120584487915,1.5590895414352417,0.9967108964920044,0.9997100234031677,0.9922603964805603,0.9967108964920044,1.007962942123413,1.0245167016983032,1.0052272081375122,1.007353663444519,0.011941724456846714,0.012116366066038609,0.011928476393222809,0.011940441094338894,0.14480790495872498,0.14672867953777313,0.14461316168308258,0.14488764107227325,80.22000122070312,80.31999969482422,79.05999755859375,79.37999725341797
2010-12-06,1.341705560684204,1.3419756889343262,1.3250473737716675,1.341597557067871,1.5768393278121948,1.5770134925842285,1.5660971403121948,1.5767897367477417,0.9976056814193726,0.9978048205375671,0.9919650554656982,0.9973769187927246,1.0258935689926147,1.0280661582946777,1.0129659175872803,1.0258514881134033,0.012081672437489033,0.012103606015443802,0.012051678262650967,0.01208021305501461,0.14736437797546387,0.14736437797546387,0.14519266784191132,0.14721687138080597,79.19999694824219,79.97000122070312,79.16999816894531,79.56999969482422
2010-12-07,1.3290449380874634,1.3398001194000244,1.3283741474151611,1.328691840171814,1.57111656665802,1.5824036598205566,1.5707464218139648,1.57086980342865,0.9942334294319153,0.999300479888916,0.9925557971000671,0.99443119764328,1.0181225538253784,1.0250102281570435,1.0170871019363403,1.0182262659072876,0.012096286751329899,0.012147716246545315,0.012022842653095722,0.012096286751329899,0.1459534466266632,0.1474621742963791,0.14579810202121735,0.145932137966156,79.70999908447266,80.01000213623047,79.19999694824219,79.86000061035156
2010-12-08,1.3248717784881592,1.3280036449432373,1.3186001777648926,1.3244681358337402,1.5755226612091064,1.5832053422927856,1.5673980712890625,1.5753240585327148,0.989315390586853,0.993541955947876,0.9863197207450867,0.989315390586853,1.0123506784439087,1.0148162841796875,1.0087764263153076,1.012248158454895,0.011978916823863983,0.011980208568274975,0.011864225380122662,0.011979061178863049,0.14504314959049225,0.14549051225185394,0.14394080638885498,0.14501160383224487,79.94000244140625,80.4000015258789,79.88999938964844,80.0
2010-12-09,1.3245383501052856,1.3323030471801758,1.317401647567749,1.3250824213027954,1.579304814338684,1.5838321447372437,1.573192834854126,1.5796539783477783,0.989315390586853,0.9933445453643799,0.987751841545105,0.9895111918449402,1.0137875080108643,1.0181225538253784,1.0108054876327515,1.0139931440353394,0.011891596019268036,0.01195257157087326,0.011890041641891003,0.011890606954693794,0.14529603719711304,0.14630578458309174,0.14439181983470917,0.145409494638443,80.04000091552734,80.4000015258789,79.68000030517578,80.06999969482422
2010-12-10,1.3240649700164795,1.3281975984573364,1.3183915615081787,1.3242051601409912,1.5774115324020386,1.586294412612915,1.575200080871582,1.577510952949524,0.9899029731750488,0.9920634627342224,0.9888262748718262,0.9898049831390381,1.0169836282730103,1.0206164121627808,1.016322135925293,1.0172940492630005,0.01192748174071312,0.011981788091361523,0.01190759614109993,0.01193089596927166,0.1450873464345932,0.14586615562438965,0.144585981965065,0.14508312940597534,80.08999633789062,80.30000305175781,79.81999969482422,80.06999969482422
2010-12-13,1.3198705911636353,1.338258147239685,1.3183915615081787,1.319713830947876,1.5794544219970703,1.5865963697433472,1.572277545928955,1.5799036026000977,0.9900990128517151,0.997307300567627,0.9897756576538086,0.9899029731750488,1.0182055234909058,1.034982442855835,1.015331506729126,1.0185374021530151,0.011909298598766327,0.011970313265919685,0.01185677107423544,0.011908589862287045,0.14449405670166016,0.14626725018024445,0.1442127525806427,0.144479438662529,80.2300033569336,80.30999755859375,79.0999984741211,79.27999877929688
2010-12-14,1.3394052982330322,1.3494184017181396,1.3367018699645996,1.3395488262176514,1.586294412612915,1.590836763381958,1.57420814037323,1.5861937999725342,0.9926543235778809,0.994925856590271,0.9898049831390381,0.9925557971000671,1.033271312713623,1.041775107383728,1.0322047472000122,1.033164620399475,0.011984659358859062,0.012072919867932796,0.011957432143390179,0.011984659358859062,0.14640645682811737,0.147795632481575,0.1461646407842636,0.1465480625629425,79.36000061035156,79.52999877929688,78.83000183105469,79.37000274658203
