Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
B6Z11,2011-11-01,1.6083,1.609,1.5883,1.5955,-0.0171,-1.06%,128175,169493
B6Z11,2011-11-02,1.595,1.6043,1.5909,1.5955,0,0.00%,104140,160139
B6Z11,2011-11-03,1.5933,1.6055,1.5867,1.6031,0.0076,+0.48%,137822,154339
B6Z11,2011-11-04,1.6032,1.6058,1.5938,1.6032,0.0001,+0.01%,94398,152454
B6Z11,2011-11-07,1.6051,1.6073,1.5972,1.605,0.0018,+0.11%,75824,149791
B6Z11,2011-11-08,1.6047,1.6124,1.6029,1.6113,0.0063,+0.39%,70694,147978
B6Z11,2011-11-09,1.6081,1.6114,1.5899,1.5913,-0.02,-1.24%,110287,150231
B6Z11,2011-11-10,1.5906,1.598,1.5863,1.59,-0.0013,-0.08%,115421,150040
B6Z11,2011-11-11,1.593,1.6087,1.589,1.6056,0.0156,+0.98%,80876,146445
B6Z11,2011-11-14,1.6063,1.609,1.5875,1.5887,-0.0169,-1.05%,81024,149321
B6Z11,2011-11-15,1.5895,1.5927,1.5793,1.5827,-0.006,-0.38%,81349,150702
B6Z11,2011-11-16,1.581,1.5817,1.5716,1.5769,-0.0058,-0.37%,97776,154679
B6Z11,2011-11-17,1.5723,1.581,1.5686,1.5751,-0.0018,-0.11%,91941,157337
B6Z11,2011-11-18,1.5758,1.5885,1.5733,1.578,0.0029,+0.18%,78262,157258
B6Z11,2011-11-21,1.5783,1.5787,1.5607,1.5641,-0.0139,-0.88%,84147,160577
B6Z11,2011-11-22,1.5642,1.5688,1.5577,1.5621,-0.002,-0.13%,73673,160287
B6Z11,2011-11-23,1.5639,1.5652,1.5491,1.5505,-0.0116,-0.74%,106984,180388
B6Z11,2011-11-25,1.5541,1.5563,1.542,1.5432,-0.0073,-0.47%,83957,184869
B6Z11,2011-11-28,1.5489,1.5592,1.5432,1.549,0.0058,+0.38%,81006,193216
B6Z11,2011-11-29,1.5503,1.5656,1.5467,1.5602,0.0112,+0.72%,94222,190728
B6Z11,2011-11-30,1.5607,1.578,1.5523,1.5697,0.0095,+0.61%,143559,186143
B6Z11,2011-12-01,1.5697,1.5753,1.5634,1.5683,-0.0014,-0.09%,116424,200761
B6Z11,2011-12-02,1.5687,1.5727,1.5574,1.5593,-0.009,-0.57%,89628,205370
B6Z11,2011-12-05,1.5599,1.5721,1.5586,1.5643,0.005,+0.32%,94941,203983
B6Z11,2011-12-06,1.5643,1.5664,1.556,1.5603,-0.004,-0.26%,102622,209514
