Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
D6H11,2011-02-25,1.0173,1.0229,1.017,1.0221,0.0057,+0.56%,64479,141893
D6H11,2011-02-28,1.0221,1.0296,1.0213,1.0294,0.0073,+0.71%,81448,145758
D6H11,2011-03-01,1.0294,1.0324,1.0248,1.0256,-0.0038,-0.37%,91533,148414
D6H11,2011-03-02,1.0257,1.0298,1.0226,1.0285,0.0029,+0.28%,70782,150843
D6H11,2011-03-03,1.0276,1.0292,1.0251,1.0287,0.0002,+0.02%,72762,156045
D6H11,2011-03-04,1.028,1.0309,1.0262,1.0282,-0.0005,-0.05%,111497,157727
D6H11,2011-03-07,1.0281,1.0308,1.0261,1.0278,-0.0004,-0.04%,104935,163642
D6H11,2011-03-08,1.0277,1.03,1.0256,1.0295,0.0017,+0.17%,133153,174715
D6H11,2011-03-09,1.0293,1.0342,1.0291,1.0324,0.0029,+0.28%,134923,187368
D6M11,2011-03-10,1.029,1.0305,1.0216,1.0235,-0.0089,-0.86%,192120,208839
D6M11,2011-03-11,1.0238,1.0283,1.0181,1.0261,0.0026,+0.25%,113174,210857
D6M11,2011-03-14,1.0253,1.0278,1.0221,1.024,-0.0021,-0.20%,58640,139379
D6M11,2011-03-15,1.025,1.0251,1.0004,1.0163,-0.0077,-0.75%,171227,125788
D6M11,2011-03-16,1.0128,1.0177,1.0013,1.0062,-0.0101,-0.99%,126857,123303
D6M11,2011-03-17,1.0069,1.0149,1.0042,1.0111,0.0049,+0.49%,86877,120605
D6M11,2011-03-18,1.013,1.0181,1.0111,1.0123,0.0012,+0.12%,73461,119711
D6M11,2011-03-21,1.013,1.0237,1.0128,1.0202,0.0079,+0.78%,65712,119492
D6M11,2011-03-22,1.02,1.024,1.0166,1.0193,-0.0009,-0.09%,67459,118442
D6M11,2011-03-23,1.0182,1.0194,1.0141,1.018,-0.0013,-0.13%,66632,117055
D6M11,2011-03-24,1.0174,1.0259,1.0161,1.0223,0.0043,+0.42%,90659,119122
D6M11,2011-03-25,1.0224,1.0246,1.0158,1.0174,-0.0049,-0.48%,68510,116294
D6M11,2011-03-28,1.0173,1.0249,1.0161,1.0229,0.0055,+0.54%,57321,117565
D6M11,2011-03-29,1.0202,1.0252,1.0202,1.0237,0.0008,+0.08%,46169,119130
D6M11,2011-03-30,1.0247,1.0306,1.0236,1.0279,0.0042,+0.41%,66750,126305
D6M11,2011-03-31,1.0276,1.031,1.0261,1.0306,0.0027,+0.26%,60708,124214
D6M11,2011-04-01,1.0297,1.0372,1.0288,1.0349,0.0043,+0.42%,88363,135176
D6M11,2011-04-04,1.0346,1.0383,1.0306,1.032,-0.0029,-0.28%,56499,134743
D6M11,2011-04-05,1.0327,1.0372,1.03,1.0366,0.0046,+0.45%,51885,138257
D6M11,2011-04-06,1.036,1.0434,1.0356,1.0409,0.0043,+0.41%,59842,142294
D6M11,2011-04-07,1.0394,1.0434,1.0376,1.0412,0.0003,+0.03%,63939,142716
D6M11,2011-04-08,1.0415,1.0481,1.0407,1.0428,0.0016,+0.15%,70913,147837
D6M11,2011-04-11,1.0449,1.0463,1.0425,1.0435,0.0007,+0.07%,55678,144148
D6M11,2011-04-12,1.0443,1.0448,1.0338,1.0389,-0.0046,-0.44%,104281,142022
D6M11,2011-04-13,1.0376,1.0418,1.0341,1.0373,-0.0016,-0.15%,78451,142487
D6M11,2011-04-14,1.0372,1.0407,1.0327,1.0396,0.0023,+0.22%,76983,144068
D6M11,2011-04-15,1.0392,1.0415,1.0348,1.0396,0,0.00%,62778,143151
D6M11,2011-04-18,1.0409,1.0414,1.0272,1.0355,-0.0041,-0.39%,97657,141097
D6M11,2011-04-19,1.0355,1.0459,1.0332,1.0437,0.0082,+0.79%,83340,141961
D6M11,2011-04-20,1.0445,1.0517,1.0437,1.0464,0.0027,+0.26%,73268,145087
D6M11,2011-04-21,1.0486,1.0563,1.0464,1.0491,0.0027,+0.26%,62201,146766
D6M11,2011-04-25,1.0478,1.051,1.0446,1.0467,-0.0024,-0.23%,37973,142755
D6M11,2011-04-26,1.0462,1.0518,1.0443,1.048,0.0013,+0.12%,62942,138939
D6M11,2011-04-27,1.0499,1.0528,1.0429,1.0491,0.0011,+0.10%,75819,138047
